INPUT:photo	OUTPUT:result	preview
https://yang.s3.yandex.net/datasets/d0d44686-e940-4871-a9a6-f7156f8fa1a5	[{"top":0.02374859844601464,"left":0.05578032829387488,"shape":"rectangle","width":0.27340298556252707,"height":0.9538620244422763},{"top":0.49084598154919123,"left":0.2996262343361286,"shape":"rectangle","width":0.19951028676184412,"height":0.4375964957492918},{"top":0.1270017041846116,"left":0.41415991747718733,"shape":"rectangle","width":0.16625857230153657,"height":0.30484250265681},{"top":0.672768120231481,"left":0.4843579813378361,"shape":"rectangle","width":0.14778539760136594,"height":0.25567435706700203},{"top":0.10241763138970755,"left":0.5619453150785533,"shape":"rectangle","width":0.3842420337635515,"height":0.7719398857599866}]	https://lead-assessors.s3.yandex.net/bc0029cf-2d96-44ec-838a-01c35f39cd85
https://yang.s3.yandex.net/datasets/7041d280-fc69-4f11-bdbd-c9fa55e9b0e9	[{"top":0.16101883670612196,"left":0.12340972487378583,"shape":"rectangle","width":0.6284205167366677,"height":0.7397861779305076}]	https://lead-assessors.s3.yandex.net/768732a0-ba38-4102-a2a3-36e83733fe5b
https://yang.s3.yandex.net/datasets/a2e3964b-06f0-492d-a032-a842842f3015	[{"top":0.654139890864606,"left":0,"shape":"rectangle","width":0.4299652487526083,"height":0.3436208200353803},{"top":0.4071884284599462,"left":0.3978219632862765,"shape":"rectangle","width":0.1419462112177936,"height":0.36627041485244893},{"top":0.6226890073016897,"left":0.061574099483990216,"shape":"rectangle","width":0.9384259005160098,"height":0.37731099269831025}]	https://lead-assessors.s3.yandex.net/1f692b12-24ed-4719-8bde-15a872a8817
https://yang.s3.yandex.net/datasets/bdb51720-1dee-4794-912e-b2feced5719b	[{"top":0,"left":0,"shape":"rectangle","width":0.9099801485655737,"height":1}]	https://lead-assessors.s3.yandex.net/9d4d53d7-1772-4314-a0f9-e5ce3ebbefb6
https://yang.s3.yandex.net/datasets/711ef3a4-bf28-4ce6-8e44-7f4b17432743	[{"top":0.3146239022527682,"left":0.3231089050103941,"shape":"rectangle","width":0.3068176997157525,"height":0.3390607101947308},{"top":0.27593228967799416,"left":0.576980187518561,"shape":"rectangle","width":0.42301981248143905,"height":0.5803741886216112},{"top":0.16494845360824745,"left":0,"shape":"rectangle","width":0.3651945186882185,"height":0.6811760213822069}]	https://lead-assessors.s3.yandex.net/f70e7863-bf48-4117-bd2c-0b85b2fa18e2
https://yang.s3.yandex.net/datasets/1e5c902c-a3f7-4885-b887-ac098ab777f1	[{"top":0.2843143918796447,"left":0.2575163299968447,"shape":"rectangle","width":0.3041944427661303,"height":0.5801984522586751},{"top":0.5997481324212794,"left":0.6420791456207178,"shape":"rectangle","width":0.35735067924339536,"height":0.40025186757872055},{"top":0.7911037087006666,"left":0.40976619991371643,"shape":"rectangle","width":0.3374669628267789,"height":0.2088962912993334}]	https://lead-assessors.s3.yandex.net/5c805c64-5e8e-4c3b-b1bd-7f2b938378fa
https://yang.s3.yandex.net/datasets/d433d442-5e66-4138-a548-6cfc414c0dbe	[{"top":0.7158580413297394,"left":0.3924453406321071,"shape":"rectangle","width":0.5573337825696315,"height":0.2841419586702606}]	https://lead-assessors.s3.yandex.net/1dfb7d74-d1d8-4820-8aaf-3a21e9462706
https://yang.s3.yandex.net/datasets/7ace1a98-ad63-42dd-8215-b024e1f18de9	[{"top":0.20377512856474986,"left":0.05949041608228146,"shape":"rectangle","width":0.8163131136044882,"height":0.7962248714352501}]	https://lead-assessors.s3.yandex.net/fd89173d-7e92-48d3-ab8d-e8963840c864
https://yang.s3.yandex.net/datasets/28485556-3be1-4cce-be2c-1a64829e7334	[{"top":0.41894746698417323,"left":0.4982004840167414,"shape":"rectangle","width":0.2664932250960343,"height":0.5487768266662283}]	https://lead-assessors.s3.yandex.net/bc5f30f1-e050-41ba-abba-50ee9f62b9b9
https://yang.s3.yandex.net/datasets/6d7d788b-76c0-4a57-a275-666304bd229a	[{"top":0,"left":0,"shape":"rectangle","width":0.9308469932017046,"height":1}]	https://lead-assessors.s3.yandex.net/387b901f-725e-4fb1-a3d0-8bfcb066537b
https://yang.s3.yandex.net/datasets/a4d6865a-ec5f-4ad6-b396-1eb1c76d0e94	[{"top":0.513319409261016,"left":0.005323364059673167,"shape":"rectangle","width":0.5223623787461209,"height":0.48668059073898395}]	https://lead-assessors.s3.yandex.net/231e38af-89b9-409b-b256-a457eec69a72
https://yang.s3.yandex.net/datasets/5d92b9e9-66e5-418a-b38e-47cdbb9f94d7	[{"top":0.20954006283421364,"left":0.1959626232626359,"shape":"rectangle","width":0.5990857992695143,"height":0.6424775277212781}]	https://lead-assessors.s3.yandex.net/6910017f-e0a1-4510-b179-ea4dd76e24e6
https://yang.s3.yandex.net/datasets/00a9e827-0741-4cbb-81c9-5a452a5f5ccc	[{"top":0.20688557973781335,"left":0,"shape":"rectangle","width":1,"height":0.7931144202621867}]	https://lead-assessors.s3.yandex.net/6c21f519-0ce1-420a-a07b-d4589d57b884
https://yang.s3.yandex.net/datasets/2f4a44b6-be53-40c6-8f01-31cd4e8896f0	[{"top":0.01454138702460846,"left":0.10215479741486468,"shape":"rectangle","width":0.8398971538652743,"height":0.983116610738255}]	https://lead-assessors.s3.yandex.net/acf37d71-cff0-401e-99f1-e04a2997150f
https://yang.s3.yandex.net/datasets/564a5dc9-4663-43d9-a853-95637050a839	[{"top":0.04892011449388498,"left":0.11027354931043457,"shape":"rectangle","width":0.5448477395094016,"height":0.8191353665527528},{"top":0.6834013833022153,"left":0.2670007362025414,"shape":"rectangle","width":0.4208559335579384,"height":0.31659861669778466},{"top":0.5050465515061588,"left":0.6534750957633108,"shape":"rectangle","width":0.3087974701597581,"height":0.3865776976249454}]	https://lead-assessors.s3.yandex.net/f5205744-a6bb-403f-a088-dfea4ec8b434
https://yang.s3.yandex.net/datasets/1a28bd71-729c-4343-8b06-74347d2b8937	[{"top":0.1004200076365025,"left":0.8499904543718978,"shape":"rectangle","width":0.1500095456281022,"height":0.3500063637520681},{"top":0.191979963608766,"left":0.3815365456139608,"shape":"rectangle","width":0.2672278700521826,"height":0.2743631534041359},{"top":0.22236246046224414,"left":0.2821029195480323,"shape":"rectangle","width":0.10012413735805298,"height":0.24029792965932714},{"top":0.5543709191140678,"left":0.28790633129312737,"shape":"rectangle","width":0.09927598329697984,"height":0.21728328419716347},{"top":0.5568684281278282,"left":0.3824994851893063,"shape":"rectangle","width":0.2378877335606877,"height":0.23601460180036715},{"top":0.6062332547279381,"left":0.8256853864494824,"shape":"rectangle","width":0.17431461355051758,"height":0.2634091537950528},{"top":0.5720876236804313,"left":0.615323909460378,"shape":"rectangle","width":0.21219070722379252,"height":0.28292094296505665},{"top":0.09355196105035861,"left":0.008875227131225683,"shape":"rectangle","width":0.28899297110520117,"height":0.7692364798648823}]	https://lead-assessors.s3.yandex.net/7d45752a-df0a-4161-9946-d183656ca197
https://yang.s3.yandex.net/datasets/67bbe84f-f94d-4783-94ce-093064abe7de	[{"top":0.32138988175205874,"left":0.3639287502914988,"shape":"rectangle","width":0.1015457782536035,"height":0.3878371757432626},{"top":0.5400517909248183,"left":0.43924186916292135,"shape":"rectangle","width":0.11847007462920395,"height":0.1818346402594524},{"top":0.548107755999604,"left":0.5814059587179661,"shape":"rectangle","width":0.09646848934092322,"height":0.15996844934217658},{"top":0.31793732529143626,"left":0.6381023515762281,"shape":"rectangle","width":0.15739595629308512,"height":0.08401220720848124},{"top":0.3812341937361824,"left":0.7024146778035103,"shape":"rectangle","width":0.16924296375600556,"height":0.0886156158226446},{"top":0.6516844498182796,"left":0.8733500711970759,"shape":"rectangle","width":0.11339278571652389,"height":0.13349884981073734},{"top":0.5837841727593699,"left":0.5374027881414047,"shape":"rectangle","width":0.333408638599331,"height":0.2589417345466888},{"top":0.4488600361796297,"left":0.003534546090354881,"shape":"rectangle","width":0.17535104646245342,"height":0.3468762519111807},{"top":0.5464189820296493,"left":0.17011804022968566,"shape":"rectangle","width":0.20005960300943557,"height":0.22330158716782256},{"top":0.5507549351785391,"left":0.2896755719086313,"shape":"rectangle","width":0.10919587893343685,"height":0.224385575455045}]	https://lead-assessors.s3.yandex.net/be72043f-e6c0-4ac3-b2f7-c0552ae06ba1
https://yang.s3.yandex.net/datasets/f2f793ad-82d9-470e-86ea-5c3b4a359185	[{"top":0.3108429823612163,"left":0.2611090985485878,"shape":"rectangle","width":0.4755618078851496,"height":0.49345308949247924}]	https://lead-assessors.s3.yandex.net/3181218f-6a65-4f22-85a8-47b42e03af23
https://yang.s3.yandex.net/datasets/1e2d70ec-e8d9-4896-8805-c1e363d79c68	[{"top":0.4481311550680455,"left":0.24502445990702196,"shape":"rectangle","width":0.7549755400929781,"height":0.5518688449319544}]	https://lead-assessors.s3.yandex.net/b71b0d3d-05ca-4bb4-b25c-96489c5afa1b
https://yang.s3.yandex.net/datasets/6a70ebd6-b4ca-44cf-8bd2-b961db9311c8	[{"top":0.020180769830138678,"left":0.2825502571294997,"shape":"rectangle","width":0.4017648433847592,"height":0.9622876733676172}]	https://lead-assessors.s3.yandex.net/5f69b918-afd2-4b56-a27b-1ed2317de2ef
https://yang.s3.yandex.net/datasets/0e734787-7d70-4f91-94f2-7eb3e8c46cfc	[{"top":0.061451247165532887,"left":0.034657761439168745,"shape":"rectangle","width":0.3003491834444215,"height":0.7131519274376418},{"top":0.4424036281179138,"left":0.3011096957482459,"shape":"rectangle","width":0.39764080716461664,"height":0.30158730158730174},{"top":0.45034013605442175,"left":0.7166769327440543,"shape":"rectangle","width":0.23222875008589305,"height":0.3061224489795917}]	https://lead-assessors.s3.yandex.net/7ba5c6a7-b225-4ccc-b795-1d43c0ee9e73
https://yang.s3.yandex.net/datasets/20222a77-d6c4-4850-acb7-1373ba7623aa	[{"top":0.5711986908517921,"left":0.24644831870853598,"shape":"rectangle","width":0.7437601583243226,"height":0.28456139549714854}]	https://lead-assessors.s3.yandex.net/eb70cd93-f32a-4827-af69-bcb09159cc31
https://yang.s3.yandex.net/datasets/e11b9720-34a7-443a-92b6-ff0a545f918c	[{"top":0.02218493661446687,"left":0.3200347999005719,"shape":"rectangle","width":0.36042754163559526,"height":0.4823825503355703},{"top":0.3903803131991051,"left":0.031071339796172295,"shape":"rectangle","width":0.960104399701715,"height":0.5872483221476508}]	https://lead-assessors.s3.yandex.net/c0df4ff7-7161-43fd-902a-dbae445e8902
https://yang.s3.yandex.net/datasets/33c2625e-971c-4fe5-97ca-602eafbb94bb	[{"top":0.3795978108692885,"left":0.23529973272241322,"shape":"rectangle","width":0.35796105383734256,"height":0.22273132238767973},{"top":0.5014040028000508,"left":0,"shape":"rectangle","width":0.2230693967163041,"height":0.23366902125493183},{"top":0.6406110792923506,"left":0,"shape":"rectangle","width":0.4393375334096984,"height":0.3593889207076494}]	https://lead-assessors.s3.yandex.net/90050d3f-002e-407f-8c10-4fcf016ca8e6
https://yang.s3.yandex.net/datasets/608bf645-da13-44fa-a3c8-a1a2f02b4b33	[{"top":0.7597428197137254,"left":0.3914541536838268,"shape":"rectangle","width":0.18125921418268204,"height":0.16399643187956947},{"top":0.6403419087838634,"left":0.5295564121087275,"shape":"rectangle","width":0.44020094872937054,"height":0.35965809121613657},{"top":0.7122701683801658,"left":0.14689807105639863,"shape":"rectangle","width":0.1889315618729543,"height":0.28772983161983423},{"top":0.3209804361762807,"left":0.24376146064608592,"shape":"rectangle","width":0.08727295497684687,"height":0.3697112543249944}]	https://lead-assessors.s3.yandex.net/c0898618-7c6b-444c-a887-2287c78f81e8
https://yang.s3.yandex.net/datasets/9a3a18f2-1254-42c1-ae54-c21c975451d9	[{"top":0.6480915814630973,"left":0.8439399803718022,"shape":"rectangle","width":0.12402014376113679,"height":0.1892000940421139},{"top":0.5569440909026628,"left":0.35538489948751933,"shape":"rectangle","width":0.5367182435099671,"height":0.43951043743724627},{"top":0.601136813598631,"left":0.5224508698453609,"shape":"rectangle","width":0.07374984277057894,"height":0.13119714550365558},{"top":0.2696913933788695,"left":0.1943393244578881,"shape":"rectangle","width":0.3401523360438939,"height":0.5990185459180064}]	https://lead-assessors.s3.yandex.net/6f1e713f-76cd-48fe-8830-136cdb254b55
https://yang.s3.yandex.net/datasets/3381a776-156e-4b9d-93b5-5a396c5692bb	[{"top":0.08893038309644706,"left":0.12903331195620163,"shape":"rectangle","width":0.7330730010199409,"height":0.8643837576459352}]	https://lead-assessors.s3.yandex.net/11f99194-f59a-4eef-81e3-662250448981
https://yang.s3.yandex.net/datasets/61aff954-4c59-40d0-ade2-ec9cf415a956	[{"top":0.6506300114547537,"left":0,"shape":"rectangle","width":0.28238089177378983,"height":0.24742268041237114}]	https://lead-assessors.s3.yandex.net/64136bdd-859a-4e14-b3d2-cbc654da9e8e
https://yang.s3.yandex.net/datasets/f19a9345-9ffa-4ac3-ac52-3300bc71d851	[{"top":0.11902602310765568,"left":0.09850627543691708,"shape":"rectangle","width":0.7288629737609332,"height":0.6465284526509018}]	https://lead-assessors.s3.yandex.net/4180ead3-c685-47ac-9b27-e4d41239ce62
https://yang.s3.yandex.net/datasets/b8dfedea-f119-44f2-a7d8-8fc78289de6e	[{"top":0.7101043059418743,"left":0.1728826385393509,"shape":"rectangle","width":0.40548429622853255,"height":0.24684672087992343},{"top":0.4766018975879834,"left":0,"shape":"rectangle","width":0.26323584981625037,"height":0.4369908729185333}]	https://lead-assessors.s3.yandex.net/6eaf71a7-a42e-4286-8976-32ef82aedad6
